OBJECTID,CIVIC_ADDR,STREET_NM,WARD,DISTRICT,LATITUDE,LONGITUDE
1,255 NORTHLAKE DR 27,NORTHLAKE DR,3,Lakeshore North,43.4974982370001,-80.5510859619999
2,308 OLD POST RD,OLD POST RD,6,Beechwood,43.467226985,-80.555968467
3,255 HUNTINGDON CRES,HUNTINGDON CRES,3,Lakeshore,43.4924473180001,-80.556771447
4,139 BRIGHTON ST 8C,BRIGHTON ST,7,Central,43.4707909100001,-80.5195524339999
5,139 BRIGHTON ST 8D,BRIGHTON ST,7,Central,43.4708311800001,-80.519560403
6,139 BRIGHTON ST 9A,BRIGHTON ST,7,Central,43.4707440110001,-80.519403637
7,139 BRIGHTON ST 9B,BRIGHTON ST,7,Central,43.4707037520001,-80.519398431
8,604 BLUENOSE CRT,BLUENOSE CRT,4,Eastbridge,43.5092358800001,-80.50134661
9,586 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.5093535820001,-80.50093714
10,582 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.509225761,-80.500905038
11,255 NORTHLAKE DR 25,NORTHLAKE DR,3,Lakeshore North,43.4977012780001,-80.551552209
12,574 EASTBRIDGE BLVD,EASTBRIDGE BLVD,4,Eastbridge,43.5090337760001,-80.500901918
13,600 YARMOUTH DR,YARMOUTH DR,4,Eastbridge,43.509262592,-80.5003700459999
14,602 YARMOUTH DR,YARMOUTH DR,4,Eastbridge,43.509231153,-80.500201684
15,577 BRIGANTINE DR,BRIGANTINE DR,4,Eastbridge,43.5089483340001,-80.51732571
16,664 SPINNAKER CRES,SPINNAKER CRES,4,Eastbridge,43.5104668970001,-80.515790916
17,541 WOOLWICH PL,WOOLWICH PL,4,Lexington,43.5055423650001,-80.496718604
18,543 WOOLWICH PL,WOOLWICH PL,4,Lexington,43.505769667,-80.4968087029999
19,547 WOOLWICH PL,WOOLWICH PL,4,Lexington,43.5061265690001,-80.496764856
20,549 WOOLWICH PL,WOOLWICH PL,4,Lexington,43.5062830630001,-80.49682488
21,551 WOOLWICH PL,WOOLWICH PL,4,Lexington,43.5064579510001,-80.496838757
22,575 LITTLE DOVER CRES,LITTLE DOVER CRES,4,Eastbridge,43.5082360970001,-80.511452323
23,537 LITTLE DOVER CRES,LITTLE DOVER CRES,4,Eastbridge,43.508518576,-80.5117570469999
24,634 FERN RD,FERN RD,3,Lakeshore North,43.4979087310001,-80.5584971709999
25,636 FERN RD,FERN RD,3,Lakeshore North,43.4980572810001,-80.558532068
26,638 FERN RD,FERN RD,3,Lakeshore North,43.4981737900001,-80.558559203
27,642 FERN RD,FERN RD,3,Lakeshore North,43.4984096580001,-80.558597462
28,644 FERN RD,FERN RD,3,Lakeshore North,43.49853778,-80.558616517
29,201 FERN CRES,FERN CRES,3,Lakeshore North,43.497515951,-80.5585200209999
30,203 FERN CRES,FERN CRES,3,Lakeshore North,43.4975005520001,-80.558300269
31,235 FERN CRES,FERN CRES,3,Lakeshore North,43.4981470760001,-80.556168826
32,237 FERN CRES,FERN CRES,3,Lakeshore North,43.498277999,-80.556159871
33,139 BRIGHTON ST 9C,BRIGHTON ST,7,Central,43.4706901110001,-80.5195035089999
34,139 BRIGHTON ST 9D,BRIGHTON ST,7,Central,43.4707324400001,-80.519522512
35,139 BRIGHTON ST 10A,BRIGHTON ST,7,Central,43.4707998530001,-80.5192871739999
36,307 HIAWATHA DR,HIAWATHA DR,6,Beechwood,43.461679528,-80.5498844909999
37,644 WHITE ELM BLVD,WHITE ELM BLVD,2,Columbia Hills,43.4657935980001,-80.5878782779999
38,553 WATERTON CRT,WATERTON CRT,3,Conservation Meadows,43.492172166,-80.5799340849999
39,545 WATERTON CRT,WATERTON CRT,3,Conservation Meadows,43.492285698,-80.579612229
40,541 WATERTON CRT,WATERTON CRT,3,Conservation Meadows,43.492323556,-80.579427314
41,205 FERN CRES,FERN CRES,3,Lakeshore North,43.49747947,-80.5581165309999
42,207 FERN CRES,FERN CRES,3,Lakeshore North,43.4974525220001,-80.557920849
43,209 FERN CRES,FERN CRES,3,Lakeshore North,43.4974372300001,-80.557729079
44,215 FERN CRES,FERN CRES,3,Lakeshore North,43.497397882,-80.557337603
45,217 FERN CRES,FERN CRES,3,Lakeshore North,43.4973854840001,-80.557141815
46,219 FERN CRES,FERN CRES,3,Lakeshore North,43.4973643380001,-80.556942088
47,223 FERN CRES,FERN CRES,3,Lakeshore North,43.497345018,-80.556462524
48,227 FERN CRES,FERN CRES,3,Lakeshore North,43.4975855440001,-80.556200922
49,229 FERN CRES,FERN CRES,3,Lakeshore North,43.4977833040001,-80.556167493
50,231 FERN CRES,FERN CRES,3,Lakeshore North,43.49790556,-80.5561745919999
51,303 HIAWATHA DR,HIAWATHA DR,6,Beechwood,43.461867065,-80.5494999329999
52,301 HIAWATHA DR,HIAWATHA DR,6,Beechwood,43.4619474020001,-80.549326258
53,312 LONGFELLOW DR,LONGFELLOW DR,6,Beechwood,43.46528183,-80.547794844
54,316 LONGFELLOW DR,LONGFELLOW DR,6,Beechwood,43.4653908830001,-80.548053561
55,139 BRIGHTON ST 10B,BRIGHTON ST,7,Central,43.4708056910001,-80.519240167
56,139 BRIGHTON ST 10C,BRIGHTON ST,7,Central,43.4707170450001,-80.519210484
57,139 BRIGHTON ST 10D,BRIGHTON ST,7,Central,43.4707132200001,-80.519257474
58,171 TENNYSON PL,TENNYSON PL,6,Beechwood,43.4661024600001,-80.5480135019999
